request_id,citizen_id,request_timestamp,service_type,documents_submitted,wait_time_minutes,audit_outcome,audit_completion_date,final_decision_amount,closure_reason
74,26544,2023-02-11T00:00:00,BUSINESS_PERMIT,4,52,flagged,2023-03-05T00:00:00,1545.6,AUDIT_DONE
75,89415,2023-04-28T18:00:00,BIRTH_CERT,4,120,passed,2023-05-15T18:00:00,153.38,
76,98781,2023-04-28T05:00:00,BUSINESS_PERMIT,5,28,passed,2023-06-10T05:00:00,185.78,
77,23356,2024-02-11T22:00:00,FAMILY_STATUS,4,20,passed,2024-03-04T22:00:00,166.11,
78,76317,2023-05-04T18:00:00,FAMILY_STATUS,1,89,passed,2023-05-15T18:00:00,132.3,
79,70258,2023-01-13T13:00:00,TAX_CERT,8,28,passed,2023-03-14T13:00:00,72.44,
80,80539,2024-03-21T05:00:00,BUSINESS_PERMIT,12,134,rejected,2024-05-18T05:00:00,13.5,AUDIT_DONE
81,21359,2024-04-21T13:00:00,FAMILY_STATUS,12,152,passed,2024-06-20T13:00:00,170.34,
82,74789,2024-04-06T07:00:00,FAMILY_STATUS,8,146,passed,2024-04-14T07:00:00,75.8,
83,46211,2023-07-06T15:00:00,BIRTH_CERT,4,91,flagged,2023-08-20T15:00:00,1208.41,AUDIT_DONE
84,41499,2023-01-11T16:00:00,BUSINESS_PERMIT,4,22,passed,2023-02-22T16:00:00,81.29,
85,50135,2024-05-17T14:00:00,BIRTH_CERT,1,24,passed,2024-06-08T14:00:00,80.88,
86,53357,2024-01-13T15:00:00,FAMILY_STATUS,9,136,passed,2024-02-24T15:00:00,199.33,
87,25670,2024-04-09T08:00:00,BIRTH_CERT,5,65,passed,2024-05-06T08:00:00,144.26,
88,78765,2023-07-09T06:00:00,BIRTH_CERT,4,124,passed,2023-09-02T06:00:00,117.92,
89,80010,2023-10-17T03:00:00,TAX_CERT,4,76,passed,2023-10-24T03:00:00,35.89,
90,74340,2023-10-08T01:00:00,ID_RENEWAL,1,142,passed,2023-11-24T01:00:00,188.82,
91,43092,2023-01-13T18:00:00,BUSINESS_PERMIT,5,121,passed,2023-01-23T18:00:00,68.14,
92,29887,2023-04-27T02:00:00,TAX_CERT,7,126,passed,2023-05-07T02:00:00,125.89,
93,91057,2023-11-08T02:00:00,TAX_CERT,4,31,passed,2023-12-23T02:00:00,83.23,
94,50026,2024-06-19T12:00:00,BIRTH_CERT,8,114,passed,2024-07-23T12:00:00,117.71,
95,44687,2023-03-03T19:00:00,ID_RENEWAL,12,26,rejected,2023-03-23T19:00:00,10.39,AUDIT_DONE
96,87832,2023-06-10T07:00:00,BUSINESS_PERMIT,3,142,passed,2023-07-15T07:00:00,0.54,
97,19329,2023-10-26T01:00:00,TAX_CERT,4,74,flagged,2023-12-01T01:00:00,1643.59,AUDIT_DONE
98,81376,2023-09-28T20:00:00,TAX_CERT,10,170,flagged,2023-10-12T20:00:00,1037.38,AUDIT_DONE
99,84607,2023-06-02T08:00:00,FAMILY_STATUS,3,19,passed,2023-07-17T08:00:00,158.53,
100,75597,2024-03-25T03:00:00,BIRTH_CERT,8,177,passed,2024-04-18T03:00:00,80.5,
101,89129,2024-05-20T14:00:00,FAMILY_STATUS,2,154,passed,2024-06-16T14:00:00,86.41,
102,98117,2023-01-27T02:00:00,FAMILY_STATUS,4,173,flagged,2023-02-04T02:00:00,1490.24,AUDIT_DONE
103,86720,2023-02-11T05:00:00,BUSINESS_PERMIT,8,133,passed,2023-03-01T05:00:00,183.21,
104,31079,2024-05-18T02:00:00,FAMILY_STATUS,8,90,passed,2024-05-31T02:00:00,64.21,
105,82102,2024-02-26T22:00:00,ID_RENEWAL,8,74,passed,2024-04-21T22:00:00,80.09,
106,77449,2024-04-10T02:00:00,ID_RENEWAL,6,65,passed,2024-05-12T02:00:00,194.04,
107,91973,2024-04-18T13:00:00,BUSINESS_PERMIT,1,49,passed,2024-05-26T13:00:00,124.53,
108,73532,2023-02-22T06:00:00,ID_RENEWAL,5,141,passed,2023-04-14T06:00:00,57.61,
109,82384,2023-01-30T20:00:00,BUSINESS_PERMIT,10,62,flagged,2023-02-06T20:00:00,1172.9,AUDIT_DONE
110,75323,2023-04-06T07:00:00,FAMILY_STATUS,2,119,rejected,2023-04-22T07:00:00,32.39,AUDIT_DONE
111,69871,2024-06-05T22:00:00,BIRTH_CERT,5,107,flagged,2024-06-27T22:00:00,1976.29,AUDIT_DONE
112,46208,2023-05-29T12:00:00,BUSINESS_PERMIT,4,154,passed,2023-06-09T12:00:00,175.87,
113,86011,2023-12-15T16:00:00,BUSINESS_PERMIT,5,1,passed,2024-01-28T16:00:00,59.71,
114,59441,2023-06-02T14:00:00,BUSINESS_PERMIT,9,124,passed,2023-07-13T14:00:00,110.38,
115,63841,2023-11-26T06:00:00,ID_RENEWAL,12,62,passed,2024-01-21T06:00:00,46.71,
116,95461,2023-11-22T23:00:00,TAX_CERT,8,98,passed,2024-01-20T23:00:00,132.74,
117,67711,2024-05-22T01:00:00,ID_RENEWAL,3,129,rejected,2024-06-04T01:00:00,16.6,AUDIT_DONE
118,19807,2024-06-22T14:00:00,BUSINESS_PERMIT,1,37,passed,2024-07-08T14:00:00,130.96,
119,98389,2023-09-29T10:00:00,BIRTH_CERT,10,178,passed,2023-10-27T10:00:00,16.06,
120,40771,2024-01-25T10:00:00,FAMILY_STATUS,11,125,flagged,2024-02-05T10:00:00,843.08,AUDIT_DONE
121,23173,2023-08-21T23:00:00,BUSINESS_PERMIT,2,112,rejected,2023-10-12T23:00:00,38.02,AUDIT_DONE
122,56984,2023-06-20T22:00:00,FAMILY_STATUS,5,8,passed,2023-07-15T22:00:00,159.23,
123,32280,2024-03-17T04:00:00,TAX_CERT,4,136,passed,2024-04-04T04:00:00,136.36,
124,28758,2023-03-22T19:00:00,TAX_CERT,7,159,passed,2023-05-05T19:00:00,99.53,
125,70981,2024-04-17T20:00:00,FAMILY_STATUS,5,118,passed,2024-06-14T20:00:00,1.88,
126,42780,2023-06-11T02:00:00,BUSINESS_PERMIT,8,89,rejected,2023-07-15T02:00:00,14.96,AUDIT_DONE
127,85341,2023-11-06T06:00:00,FAMILY_STATUS,7,124,passed,2023-12-05T06:00:00,76.27,
128,16428,2023-10-30T00:00:00,BIRTH_CERT,11,102,passed,2023-12-19T00:00:00,113.19,
129,91381,2024-05-23T09:00:00,FAMILY_STATUS,4,156,flagged,2024-06-11T09:00:00,1062.81,AUDIT_DONE
130,14373,2023-05-21T20:00:00,BIRTH_CERT,2,161,passed,2023-06-25T20:00:00,61.79,
131,33021,2024-01-09T23:00:00,TAX_CERT,3,24,rejected,2024-02-11T23:00:00,16.34,AUDIT_DONE
132,43681,2023-05-16T17:00:00,BUSINESS_PERMIT,6,136,passed,2023-06-02T17:00:00,54.51,
133,39571,2023-10-30T23:00:00,BUSINESS_PERMIT,6,30,passed,2023-12-24T23:00:00,15.06,
134,98188,2024-01-10T02:00:00,FAMILY_STATUS,7,4,passed,2024-02-09T02:00:00,24.72,
135,83584,2024-01-26T20:00:00,FAMILY_STATUS,6,28,passed,2024-03-12T20:00:00,94.3,
136,95097,2023-08-15T20:00:00,BUSINESS_PERMIT,2,163,flagged,2023-09-10T20:00:00,1891.27,AUDIT_DONE
137,40775,2023-04-30T04:00:00,BIRTH_CERT,1,10,passed,2023-05-13T04:00:00,98.52,
138,64935,2023-05-19T12:00:00,BIRTH_CERT,8,95,passed,2023-06-29T12:00:00,148.63,
139,14288,2023-06-08T13:00:00,FAMILY_STATUS,11,26,flagged,2023-07-02T13:00:00,1538.78,AUDIT_DONE
140,58147,2023-08-11T14:00:00,BIRTH_CERT,8,61,flagged,2023-09-30T14:00:00,919.23,AUDIT_DONE
141,69600,2024-01-03T01:00:00,ID_RENEWAL,7,71,passed,2024-03-02T01:00:00,24.43,
142,41925,2023-08-06T20:00:00,TAX_CERT,11,153,rejected,2023-09-03T20:00:00,2.53,AUDIT_DONE
143,53064,2023-07-30T02:00:00,TAX_CERT,9,54,passed,2023-08-20T02:00:00,162.61,
144,96646,2023-01-03T08:00:00,ID_RENEWAL,3,34,passed,2023-01-17T08:00:00,159.7,
145,16868,2023-05-15T00:00:00,TAX_CERT,6,61,passed,2023-06-07T00:00:00,3.16,
146,87812,2024-03-07T16:00:00,ID_RENEWAL,2,17,passed,2024-04-15T16:00:00,155.6,
147,78347,2024-04-07T16:00:00,FAMILY_STATUS,4,158,passed,2024-05-26T16:00:00,156.65,
148,99928,2024-04-14T20:00:00,ID_RENEWAL,1,16,rejected,2024-05-18T20:00:00,42.36,AUDIT_DONE
149,18609,2024-05-17T22:00:00,TAX_CERT,8,19,flagged,2024-06-02T22:00:00,1186.53,AUDIT_DONE
150,79541,2023-10-09T19:00:00,FAMILY_STATUS,11,150,passed,2023-11-23T19:00:00,65.04,
151,95316,2024-04-09T16:00:00,BIRTH_CERT,10,111,passed,2024-05-27T16:00:00,140.36,
152,64524,2023-08-09T13:00:00,ID_RENEWAL,8,59,passed,2023-09-10T13:00:00,165.48,
153,72163,2023-11-17T13:00:00,ID_RENEWAL,6,171,passed,2024-01-06T13:00:00,190.72,
154,27054,2023-04-04T02:00:00,BIRTH_CERT,2,111,passed,2023-06-01T02:00:00,147.76,
155,97207,2023-03-03T18:00:00,BUSINESS_PERMIT,9,144,passed,2023-04-01T18:00:00,24.45,
156,30280,2023-02-22T09:00:00,BUSINESS_PERMIT,10,80,passed,2023-03-14T09:00:00,115.58,
157,39643,2023-08-18T03:00:00,BUSINESS_PERMIT,6,143,passed,2023-09-30T03:00:00,152.52,
158,50499,2023-01-27T19:00:00,FAMILY_STATUS,11,178,passed,2023-03-19T19:00:00,36.08,
159,92991,2023-12-26T00:00:00,ID_RENEWAL,3,37,passed,2024-01-11T00:00:00,80.16,
160,58503,2023-04-04T23:00:00,FAMILY_STATUS,9,56,passed,2023-04-21T23:00:00,90.73,
161,90981,2023-11-29T18:00:00,ID_RENEWAL,10,22,flagged,2024-01-23T18:00:00,986.7,AUDIT_DONE
162,45804,2023-03-25T08:00:00,TAX_CERT,8,170,passed,2023-04-27T08:00:00,121.42,
163,73783,2024-06-08T03:00:00,BIRTH_CERT,6,111,passed,2024-07-22T03:00:00,135.64,
164,49507,2023-11-12T01:00:00,TAX_CERT,4,102,rejected,2023-12-02T01:00:00,2.74,AUDIT_DONE
165,33028,2023-05-21T08:00:00,TAX_CERT,5,84,passed,2023-06-24T08:00:00,99.48,
166,56421,2024-01-25T17:00:00,ID_RENEWAL,12,59,passed,2024-03-23T17:00:00,166.67,
167,85465,2024-02-11T23:00:00,BUSINESS_PERMIT,1,112,passed,2024-03-09T23:00:00,184.23,
168,32527,2024-02-19T22:00:00,BIRTH_CERT,11,107,passed,2024-03-17T22:00:00,81.01,
169,87184,2024-04-16T22:00:00,BUSINESS_PERMIT,6,23,passed,2024-05-20T22:00:00,21.17,
170,32037,2024-06-20T02:00:00,ID_RENEWAL,7,80,flagged,2024-08-15T02:00:00,1065.89,AUDIT_DONE
171,56019,2024-06-06T20:00:00,TAX_CERT,2,136,passed,2024-07-05T20:00:00,181.18,
172,95918,2023-08-30T03:00:00,ID_RENEWAL,3,66,passed,2023-10-24T03:00:00,120.48,
173,99277,2023-07-01T20:00:00,BIRTH_CERT,8,119,flagged,2023-08-05T20:00:00,1711.85,AUDIT_DONE
174,49691,2023-11-27T20:00:00,FAMILY_STATUS,6,39,passed,2024-01-13T20:00:00,93.78,
175,58331,2023-02-27T11:00:00,FAMILY_STATUS,9,19,passed,2023-03-09T11:00:00,90.38,
176,82655,2023-03-20T20:00:00,ID_RENEWAL,2,158,passed,2023-05-03T20:00:00,76.9,
177,18109,2024-04-05T18:00:00,BUSINESS_PERMIT,11,49,passed,2024-04-21T18:00:00,95.13,
178,67377,2023-04-16T10:00:00,BUSINESS_PERMIT,12,22,passed,2023-05-08T10:00:00,34.51,
179,63578,2024-06-20T16:00:00,FAMILY_STATUS,10,41,passed,2024-07-21T16:00:00,183.59,
180,60667,2023-02-23T20:00:00,FAMILY_STATUS,11,86,passed,2023-04-14T20:00:00,18.9,
181,96980,2023-09-16T23:00:00,TAX_CERT,11,155,flagged,2023-10-30T23:00:00,1200.03,AUDIT_DONE
182,21104,2023-12-25T09:00:00,FAMILY_STATUS,11,179,passed,2024-02-15T09:00:00,25.79,
183,99838,2024-01-21T20:00:00,BIRTH_CERT,6,33,passed,2024-03-15T20:00:00,165.79,
184,33627,2023-04-06T20:00:00,TAX_CERT,11,109,passed,2023-05-02T20:00:00,3.65,
185,23256,2023-12-16T15:00:00,BIRTH_CERT,4,58,rejected,2024-01-10T15:00:00,7.75,AUDIT_DONE
186,59377,2024-06-23T01:00:00,TAX_CERT,11,87,flagged,2024-08-07T01:00:00,1541.64,AUDIT_DONE
187,15726,2023-06-16T05:00:00,BUSINESS_PERMIT,12,160,flagged,2023-07-21T05:00:00,998.65,AUDIT_DONE
188,68841,2024-01-09T21:00:00,TAX_CERT,12,61,rejected,2024-03-04T21:00:00,30.53,AUDIT_DONE
189,70513,2023-09-02T09:00:00,FAMILY_STATUS,8,50,passed,2023-10-07T09:00:00,189.43,
190,89254,2024-01-27T16:00:00,TAX_CERT,9,108,rejected,2024-03-25T16:00:00,40.84,AUDIT_DONE
191,77621,2023-09-14T01:00:00,ID_RENEWAL,11,124,flagged,2023-09-27T01:00:00,1465.45,AUDIT_DONE
192,67340,2023-10-19T02:00:00,ID_RENEWAL,3,70,passed,2023-12-18T02:00:00,102.67,
193,40903,2023-08-16T14:00:00,BUSINESS_PERMIT,6,7,passed,2023-09-15T14:00:00,79.29,
194,95191,2023-03-25T11:00:00,FAMILY_STATUS,4,8,passed,2023-05-16T11:00:00,19.82,
195,28191,2023-05-30T04:00:00,BUSINESS_PERMIT,1,74,rejected,2023-07-29T04:00:00,23.62,AUDIT_DONE
196,81932,2024-04-04T19:00:00,BIRTH_CERT,1,21,passed,2024-04-20T19:00:00,43.13,
197,65027,2024-06-24T13:00:00,BIRTH_CERT,2,74,passed,2024-07-16T13:00:00,24.37,
198,85372,2024-04-13T02:00:00,TAX_CERT,2,128,passed,2024-05-22T02:00:00,3.29,
199,34551,2023-05-28T09:00:00,ID_RENEWAL,7,1,passed,2023-06-30T09:00:00,48.11,
200,82633,2024-06-20T11:00:00,ID_RENEWAL,2,135,passed,2024-07-29T11:00:00,157.28,
201,12128,2024-02-04T15:00:00,FAMILY_STATUS,1,163,passed,2024-03-29T15:00:00,74.66,
202,53583,2023-03-11T11:00:00,TAX_CERT,4,169,passed,2023-05-04T11:00:00,154.3,
203,99742,2023-02-15T11:00:00,BUSINESS_PERMIT,9,87,flagged,2023-04-12T11:00:00,1010.11,AUDIT_DONE
204,14847,2024-05-05T20:00:00,FAMILY_STATUS,3,35,passed,2024-06-10T20:00:00,155.24,
205,81176,2023-07-26T01:00:00,BUSINESS_PERMIT,4,11,passed,2023-08-27T01:00:00,62.02,
206,95948,2023-09-17T01:00:00,FAMILY_STATUS,11,49,passed,2023-09-27T01:00:00,172.43,
207,54438,2023-10-07T03:00:00,TAX_CERT,6,112,flagged,2023-11-07T03:00:00,1691.97,AUDIT_DONE
208,20828,2024-05-23T22:00:00,BUSINESS_PERMIT,8,95,rejected,2024-07-20T22:00:00,25.96,AUDIT_DONE
209,52981,2023-03-22T13:00:00,FAMILY_STATUS,10,47,passed,2023-04-03T13:00:00,64.24,
210,15551,2023-11-10T14:00:00,FAMILY_STATUS,10,110,passed,2023-12-15T14:00:00,88.78,
211,77251,2024-03-21T08:00:00,TAX_CERT,11,15,passed,2024-04-20T08:00:00,127.5,
212,40932,2023-02-01T04:00:00,FAMILY_STATUS,10,174,flagged,2023-02-12T04:00:00,841.76,AUDIT_DONE
213,58760,2024-01-06T12:00:00,BUSINESS_PERMIT,10,9,passed,2024-02-05T12:00:00,135.81,
214,42717,2023-03-20T18:00:00,ID_RENEWAL,3,136,passed,2023-04-13T18:00:00,62.88,
215,44311,2023-01-27T23:00:00,FAMILY_STATUS,3,128,passed,2023-02-10T23:00:00,182.71,
216,26074,2024-04-01T06:00:00,TAX_CERT,10,74,passed,2024-04-20T06:00:00,199.73,
217,97535,2023-03-17T14:00:00,FAMILY_STATUS,3,114,rejected,2023-04-13T14:00:00,40.53,AUDIT_DONE
218,93584,2023-03-08T17:00:00,TAX_CERT,9,75,flagged,2023-04-29T17:00:00,1821.63,AUDIT_DONE
219,74752,2024-01-06T16:00:00,ID_RENEWAL,4,32,rejected,2024-01-28T16:00:00,39.6,AUDIT_DONE
220,90209,2024-01-05T17:00:00,ID_RENEWAL,10,95,passed,2024-01-20T17:00:00,196.6,
221,85353,2023-03-09T09:00:00,ID_RENEWAL,7,123,passed,2023-05-07T09:00:00,153.83,
222,26821,2023-05-09T10:00:00,BIRTH_CERT,11,19,passed,2023-06-07T10:00:00,136.02,
223,77908,2023-07-06T04:00:00,TAX_CERT,7,129,rejected,2023-07-20T04:00:00,2.77,AUDIT_DONE
224,47230,2023-11-08T05:00:00,ID_RENEWAL,3,83,rejected,2023-12-18T05:00:00,11.27,AUDIT_DONE
225,79924,2023-09-14T06:00:00,ID_RENEWAL,11,142,passed,2023-10-30T06:00:00,125.0,
226,91851,2024-05-29T20:00:00,BIRTH_CERT,3,152,rejected,2024-07-17T20:00:00,7.71,AUDIT_DONE
227,85598,2023-12-12T18:00:00,FAMILY_STATUS,1,8,passed,2024-02-06T18:00:00,189.71,
228,81509,2023-08-04T18:00:00,FAMILY_STATUS,7,159,passed,2023-09-20T18:00:00,99.61,
229,17852,2023-11-06T15:00:00,TAX_CERT,4,176,passed,2023-12-27T15:00:00,90.71,
230,51853,2024-03-26T13:00:00,FAMILY_STATUS,8,119,passed,2024-04-22T13:00:00,121.33,
231,26059,2024-02-13T04:00:00,FAMILY_STATUS,6,132,passed,2024-03-20T04:00:00,63.82,
232,64805,2024-04-05T07:00:00,TAX_CERT,3,25,passed,2024-05-21T07:00:00,189.08,
233,71186,2023-06-13T10:00:00,BUSINESS_PERMIT,10,81,passed,2023-07-22T10:00:00,31.87,
234,38199,2023-11-12T15:00:00,BIRTH_CERT,1,24,rejected,2023-12-04T15:00:00,25.27,AUDIT_DONE
235,98148,2023-12-28T01:00:00,BUSINESS_PERMIT,1,73,passed,2024-02-14T01:00:00,176.47,
236,57943,2023-10-20T17:00:00,BUSINESS_PERMIT,1,28,passed,2023-12-12T17:00:00,176.49,
237,47827,2024-01-10T01:00:00,ID_RENEWAL,7,14,passed,2024-02-21T01:00:00,38.93,
238,90090,2024-01-31T16:00:00,ID_RENEWAL,8,141,passed,2024-03-21T16:00:00,197.82,
239,28909,2023-05-12T03:00:00,TAX_CERT,7,96,flagged,2023-06-11T03:00:00,1206.9,AUDIT_DONE
240,72094,2024-06-05T12:00:00,BIRTH_CERT,9,11,passed,2024-07-03T12:00:00,27.41,
241,31299,2024-04-12T04:00:00,BUSINESS_PERMIT,10,132,passed,2024-05-09T04:00:00,186.27,
242,83783,2023-11-03T18:00:00,FAMILY_STATUS,6,130,flagged,2023-12-25T18:00:00,1438.81,AUDIT_DONE
243,50327,2024-05-01T00:00:00,ID_RENEWAL,6,85,passed,2024-06-14T00:00:00,195.98,
244,72973,2024-04-30T08:00:00,TAX_CERT,11,149,passed,2024-06-13T08:00:00,144.28,
245,99224,2024-06-20T20:00:00,TAX_CERT,12,159,flagged,2024-08-18T20:00:00,1256.23,AUDIT_DONE
246,29848,2023-02-02T18:00:00,BUSINESS_PERMIT,12,29,passed,2023-03-07T18:00:00,88.21,
